date,bat,km,engOn,evDesc,dir,lat,lng,speed,heading,wheel_speed,can_fls,can_taho,can_engine_hrs,eng_temp
1717815696,12.78,0,False,,-,,,,,,,,,
1717815818,12.718,0,False,,"Valentin Torra 5001-5400 A 46 Mts, Parana, Entre Rios",-31.7701,-60.4517,0.0,214.0,,,,,
1717815938,12.718,0,False,,"Valentin Torra 5001-5400 A 46 Mts, Parana, Entre Rios",-31.7701,-60.4517,0.0,214.0,,,,,
1717816056,12.709,0,False,,"Valentin Torra 5001-5400 A 46 Mts, Parana, Entre Rios",-31.7701,-60.4517,0.0,214.0,,,,,
1717816072,12.514,0,False,Contacto,"Valentin Torra 5001-5400 A 46 Mts, Parana, Entre Rios",-31.7701,-60.4517,0.0,214.0,,,,,
1717816082,11.929,0,False,,"Valentin Torra 5001-5400 A 46 Mts, Parana, Entre Rios",-31.7701,-60.4517,0.0,214.0,0.0,0.0,1441.0,39915.0,0.0
1717816084,13.321,0,True,,"Valentin Torra 5001-5400 A 46 Mts, Parana, Entre Rios",-31.7701,-60.4517,0.0,214.0,0.0,78.0,1497.0,39915.0,0.0
1717816086,13.25,0,True,,"Valentin Torra 5001-5400 A 46 Mts, Parana, Entre Rios",-31.7701,-60.4517,0.0,214.0,0.0,78.0,1530.0,39915.0,0.0
1717816096,13.436,0,True,,"Valentin Torra 5001-5400 A 46 Mts, Parana, Entre Rios",-31.7701,-60.4517,0.0,214.0,6.0,78.0,1527.0,39915.0,0.0
1717816102,13.445,0,True,,"Valentin Torra 5001-5400 A 46 Mts, Parana, Entre Rios",-31.7701,-60.4517,0.0,214.0,5.0,78.0,1576.0,39915.0,0.0
1717816104,13.684,0,True,,"Valentin Torra 5001-5400 A 46 Mts, Parana, Entre Rios",-31.7701,-60.4517,0.0,214.0,6.0,78.0,1585.0,39915.0,0.0
1717816108,13.533,0,True,,"Valentin Torra 5001-5400 A 46 Mts, Parana, Entre Rios",-31.7701,-60.4517,0.0,214.0,8.0,78.0,1683.0,39915.0,0.0
1717816110,13.702,0,True,,"Valentin Torra 5001-5400 A 46 Mts, Parana, Entre Rios",-31.7701,-60.4517,0.0,214.0,8.0,78.0,1719.0,39915.0,0.0
1717816122,13.631,0,True,,"Valentin Torra 5001-5400 A 60 Mts, Parana, Entre Rios",-31.7699,-60.452,8.0,350.0,3.0,78.0,1445.0,39915.0,0.0
1717816124,13.56,0,True,,"Valentin Torra 5001-5400 A 70 Mts, Parana, Entre Rios",-31.7698,-60.452,8.0,0.0,0.0,89.0,1242.0,39915.0,0.0
1717816126,13.498,0,True,,"Valentin Torra 5001-5400 A 70 Mts, Parana, Entre Rios",-31.7698,-60.452,4.0,0.0,3.0,89.0,1485.0,39915.0,0.0
1717816128,13.826,0,True,,"Valentin Torra 5001-5400 A 70 Mts, Parana, Entre Rios",-31.7698,-60.452,1.0,48.0,8.0,89.0,1716.0,39915.0,0.0
1717816130,13.799,0,True,,"Valentin Torra 5001-5400 A 72 Mts, Parana, Entre Rios",-31.7698,-60.4519,2.0,82.0,9.0,89.0,1762.0,39915.0,0.0
1717816134,13.658,0,True,,"Valentin Torra 5001-5400 A 72 Mts, Parana, Entre Rios",-31.7698,-60.4519,5.0,110.0,8.0,89.0,1728.0,39915.0,0.0
1717816136,13.755,0,True,,"Valentin Torra 5001-5400 A 74 Mts, Parana, Entre Rios",-31.7698,-60.4518,6.0,118.0,7.0,89.0,1658.0,39915.0,0.0
1717816158,13.489,0,True,,"Valentin Torra 5001-5400 A 77 Mts, Parana, Entre Rios",-31.7698,-60.4516,5.0,84.0,9.0,89.0,1824.0,39915.0,0.0
1717816168,13.631,0,True,,"Valentin Torra 5001-5400 A 80 Mts, Parana, Entre Rios",-31.7698,-60.4514,0.0,102.0,0.0,89.0,1113.0,39915.0,0.0
1717816182,13.374,0,True,,"Valentin Torra 5001-5400 A 81 Mts, Parana, Entre Rios",-31.7698,-60.4513,1.0,102.0,1.0,89.0,1406.0,39915.0,0.0
1717816184,13.702,0,True,,"Valentin Torra 5001-5400 A 81 Mts, Parana, Entre Rios",-31.7698,-60.4513,0.0,194.0,5.0,89.0,1581.0,39915.0,0.0
1717816188,13.516,0,True,,"Valentin Torra 5001-5400 A 72 Mts, Parana, Entre Rios",-31.7699,-60.4513,7.0,210.0,8.0,89.0,1697.0,39915.0,0.0
1717816192,13.826,0,True,,"Valentin Torra 5001-5400 A 72 Mts, Parana, Entre Rios",-31.7699,-60.4513,2.0,210.0,2.0,89.0,1245.0,39915.0,0.0
1717816202,13.746,0,True,,"Valentin Torra 5001-5400 A 85 Mts, Parana, Entre Rios",-31.7698,-60.4511,0.0,210.0,5.0,89.0,1672.0,39915.0,0.0
1717816234,13.542,0,True,,"Valentin Torra 5001-5400 A 86 Mts, Parana, Entre Rios",-31.7698,-60.451,3.0,308.0,9.0,89.0,1803.0,39915.0,0.0
1717816236,13.675,0,True,,"Valentin Torra 5001-5400 A 86 Mts, Parana, Entre Rios",-31.7698,-60.451,5.0,352.0,8.0,89.0,1702.0,39915.0,0.0
1717816240,13.454,0,True,,"Valentin Torra 5001-5400 A 98 Mts, Parana, Entre Rios",-31.7697,-60.4509,7.0,6.0,7.0,89.0,1674.0,39915.0,0.0
1717816242,13.764,0,True,,"Valentin Torra 5001-5400 A 98 Mts, Parana, Entre Rios",-31.7697,-60.4509,5.0,346.0,7.0,89.0,1671.0,39915.0,0.0
1717816264,13.755,0,True,,"Hernandarias 5001-5400 A  0.12 Km, Parana, Entre Rios",-31.7694,-60.451,0.0,356.0,0.0,89.0,1775.0,39915.0,0.0
1717816276,13.542,0,True,,"Hernandarias 5001-5400 A  0.11 Km, Parana, Entre Rios",-31.7693,-60.451,3.0,356.0,0.0,89.0,1429.0,39915.0,0.0
1717816280,13.25,0,True,,"Hernandarias 5001-5400 A  0.11 Km, Parana, Entre Rios",-31.7693,-60.451,1.0,356.0,3.0,89.0,1499.0,39915.0,0.0
1717816282,13.604,0,True,,"Hernandarias 5001-5400 A  0.11 Km, Parana, Entre Rios",-31.7693,-60.451,1.0,356.0,6.0,89.0,1590.0,39915.0,0.0
1717816296,13.401,0,True,,"Hernandarias 5001-5400 A  0.12 Km, Parana, Entre Rios",-31.7694,-60.451,5.0,228.0,4.0,89.0,1511.0,39915.0,0.0
